CUSTOMER ID,LINK TO LMS,LAST APPROVED AMOUNT,Max of dpd,Max of emi_paid,CIBIL SCORE,ACTIVE LOANS,OFFER TAKEN,CARD ASSIGNED,CARD REGISTERED,Last nbfc,BANK,NACH REGISTRATION STATUS,PAYBACK POINT,VENDOR CODE,Max of service_issue,Max of system_resolvedticket,OPEN TICKET,RESOLVED TICKET,REOPEN TICKET,OVERDUE TICKET,CLOSED TICKET
7098,https://lms.stasheasy.com/lead/customerInfo/7098/277165,13043,1,8,583,0,1,Y,Y,,,,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,5
8858,https://lms.stasheasy.com/lead/customerInfo/8858/23647,40000,3,12,674,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,1
9712,https://lms.stasheasy.com/lead/customerInfo/9712/440810,16250,1,10,588,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank Ltd,ACCEPTED,0,DCB,0,0,0,0,0,0,1
9732,https://lms.stasheasy.com/lead/customerInfo/9732/515481,23114,1,9,687,0,2,Y,Y,Akara Capital Advisors Private Limited,"PUN-Punjab National Bank, India",ACCEPTED,0,DCB,0,0,0,0,0,0,9
9823,https://lms.stasheasy.com/lead/customerInfo/9823/277119,25109,2,10,676,0,1,Y,Y,,,,0,DCB,0,0,0,0,0,0,0
9966,https://lms.stasheasy.com/lead/customerInfo/9966/50958,39729,6,12,1,0,1,Y,Y,,,,0,DCB,0,0,0,0,0,0,0
11224,https://lms.stasheasy.com/lead/customerInfo/11224/600301,20323,1,12,668,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,3
11646,https://lms.stasheasy.com/lead/customerInfo/11646/526762,21500,3,32,640,1,1,Y,Y,Akara Capital Advisors Private Limited,KOTAK MAHINDRA BANK,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,11
11997,https://lms.stasheasy.com/lead/customerInfo/11997/42148,30000,3,15,607,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,2
13219,https://lms.stasheasy.com/lead/customerInfo/13219/35070,14000,1,12,668,0,0,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
13487,https://lms.stasheasy.com/lead/customerInfo/13487/140046,50000,3,12,714,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,2
13681,https://lms.stasheasy.com/lead/customerInfo/13681/129985,39869,3,13,704,0,2,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,2,0,0,1
14840,https://lms.stasheasy.com/lead/customerInfo/14840/377905,15209,2,15,657,0,1,Y,Y,Akara Capital Advisors Private Limited,"CIT-Citibank, India",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,8
16887,https://lms.stasheasy.com/lead/customerInfo/16887/183066,26371,3,29,625,0,2,Y,Y,Akara Capital Advisors Private Limited,Axis Bank Ltd.,ACCEPTED,0,DCB,0,0,0,0,0,0,0
17305,https://lms.stasheasy.com/lead/customerInfo/17305/519116,12095,1,6,596,0,2,Y,Y,Akara Capital Advisors Private Limited,"CIT-Citibank, India",ACCEPTED,0,DCB,0,0,0,0,0,0,0
17644,https://lms.stasheasy.com/lead/customerInfo/17644/466633,500,3,30,712,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,2
17646,https://lms.stasheasy.com/lead/customerInfo/17646/332293,11613,3,9,682,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,0
17694,https://lms.stasheasy.com/lead/customerInfo/17694/59210,100000,2,18,645,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
18200,https://lms.stasheasy.com/lead/customerInfo/18200/397192,18370,5,24,694,0,1,Y,Y,Akara Capital Advisors Private Limited,State Bank of India,ACCEPTED,0,DCB,0,0,0,0,0,0,1
18249,https://lms.stasheasy.com/lead/customerInfo/18249/68012,100000,3,16,649,0,0,Y,Y,Akara Capital Advisors Private Limited,Axis Bank Ltd.,ACCEPTED,0,DCB,0,0,0,0,0,0,3
18424,https://lms.stasheasy.com/lead/customerInfo/18424/393122,38152,2,29,679,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,1,0,0,0
18735,https://lms.stasheasy.com/lead/customerInfo/18735/613752,14130,1,6,666,0,2,Y,Y,Akara Capital Advisors Private Limited,"HDF-HDFC Bank, India,HDFC Bank Ltd",ACCEPTED,0,DCB,0,0,0,0,0,0,0
19743,https://lms.stasheasy.com/lead/customerInfo/19743/45520,14740,8,15,636,0,0,Y,Y,Akara Capital Advisors Private Limited,IDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
21848,https://lms.stasheasy.com/lead/customerInfo/21848/130631,49501,3,18,616,0,1,Y,N,Akara Capital Advisors Private Limited,Citi Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
22043,https://lms.stasheasy.com/lead/customerInfo/22043/130953,41048,3,23,704,0,2,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,1
22890,https://lms.stasheasy.com/lead/customerInfo/22890/677415,20500,3,12,631,1,0,Y,Y,Akara Capital Advisors Private Limited,Citi Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,7
23140,https://lms.stasheasy.com/lead/customerInfo/23140/343462,150000,2,27,633,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,2
23431,https://lms.stasheasy.com/lead/customerInfo/23431/687118,47999,3,63,691,1,1,Y,Y,Akara Capital Advisors Private Limited,Standard Chartered Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,3
24220,https://lms.stasheasy.com/lead/customerInfo/24220/249613,28237,2,12,668,0,1,Y,Y,Akara Capital Advisors Private Limited,Axis Bank Ltd.,ACCEPTED,0,DCB,0,0,0,0,0,0,0
24526,https://lms.stasheasy.com/lead/customerInfo/24526/338005,49032,1,9,608,0,1,Y,Y,Akara Capital Advisors Private Limited,Citi Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
25602,https://lms.stasheasy.com/lead/customerInfo/25602/707108,33205,3,15,682,0,1,Y,N,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
26189,https://lms.stasheasy.com/lead/customerInfo/26189/193644,16290,1,9,687,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
26565,https://lms.stasheasy.com/lead/customerInfo/26565/632717,21000,3,63,600,4,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,1,0,0,4
26950,https://lms.stasheasy.com/lead/customerInfo/26950/701423,35000,6,13,669,3,1,Y,Y,"Akara Capital Advisors Private Limited,EQX ANALYTICS PRIVATE LIMITED","HDFC,HDFC Bank Ltd",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,45
27438,https://lms.stasheasy.com/lead/customerInfo/27438/98157,36614,3,23,720,0,2,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,1
27636,https://lms.stasheasy.com/lead/customerInfo/27636/516312,12140,1,9,628,0,2,Y,Y,Akara Capital Advisors Private Limited,"KKB-kotak mahindra,Kotak Mahindra Bank",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
27758,https://lms.stasheasy.com/lead/customerInfo/27758/66548,15000,3,32,621,1,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
28115,https://lms.stasheasy.com/lead/customerInfo/28115/703035,25301,6,25,692,0,1,Y,Y,Akara Capital Advisors Private Limited,State Bank of India,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,1
28297,https://lms.stasheasy.com/lead/customerInfo/28297/331004,12903,1,9,513,0,1,Y,N,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,1,0,0,0,0,3
28493,https://lms.stasheasy.com/lead/customerInfo/28493/691306,17473,1,9,623,0,2,Y,N,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,1,0
28711,https://lms.stasheasy.com/lead/customerInfo/28711/695194,23414,3,10,684,1,1,Y,Y,"Akara Capital Advisors Private Limited,EQX ANALYTICS PRIVATE LIMITED","SYN-Syndicate Bank,Syndicate Bank",ACCEPTED,0,DCB,0,0,0,0,0,0,3
28731,https://lms.stasheasy.com/lead/customerInfo/28731/699059,19076,1,12,678,0,1,Y,N,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,2,0,0,7
28840,https://lms.stasheasy.com/lead/customerInfo/28840/256572,16535,1,9,593,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,0
29679,https://lms.stasheasy.com/lead/customerInfo/29679/556769,22866,3,11,637,1,2,Y,Y,"AKARA CAPITAL ADVISORS P LTD,Akara Capital Advisors Private Limited","HDF-HDFC Bank,HDF-HDFC Bank, India",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,2,2,0,6
30500,https://lms.stasheasy.com/lead/customerInfo/30500/706843,23694,8,42,652,1,2,Y,Y,Akara Capital Advisors Private Limited,"Central Bank of India,Central Bank of India, India",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
32087,https://lms.stasheasy.com/lead/customerInfo/32087/417268,16000,8,39,715,1,1,Y,Y,Akara Capital Advisors Private Limited,State Bank of India,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
32167,https://lms.stasheasy.com/lead/customerInfo/32167/59546,20000,2,15,692,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
32602,https://lms.stasheasy.com/lead/customerInfo/32602/600296,71505,3,10,656,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,8
33474,https://lms.stasheasy.com/lead/customerInfo/33474/440798,19076,3,20,591,0,1,Y,Y,Akara Capital Advisors Private Limited,KOTAK MAHINDRA BANK,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,3
33597,https://lms.stasheasy.com/lead/customerInfo/33597/292539,21522,1,9,631,0,1,Y,Y,Akara Capital Advisors Private Limited,KOTAK MAHINDRA BANK,ACCEPTED,0,DCB,0,0,0,0,0,0,10
33854,https://lms.stasheasy.com/lead/customerInfo/33854/398294,44287,3,38,679,1,2,Y,Y,Akara Capital Advisors Private Limited,IDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,2
35059,https://lms.stasheasy.com/lead/customerInfo/35059/330389,12903,6,15,737,0,1,Y,Y,Akara Capital Advisors Private Limited,"KKB-Kotak Mahindra / Ing Vysya Bank, India",REJECTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,0
35161,https://lms.stasheasy.com/lead/customerInfo/35161/60152,40000,2,6,2,0,0,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
35721,https://lms.stasheasy.com/lead/customerInfo/35721/377872,14130,3,14,605,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,1
35734,https://lms.stasheasy.com/lead/customerInfo/35734/58828,46332,7,18,654,0,1,Y,Y,"Akara Capital Advisors Private Limited,Stashfin DMI EMI Escrow Account","Corporation Bank,ICICI BANK",ACCEPTED,0,DCB,0,0,0,0,0,0,0
36147,https://lms.stasheasy.com/lead/customerInfo/36147/204796,12258,3,16,687,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
36348,https://lms.stasheasy.com/lead/customerInfo/36348/60181,47500,3,18,730,0,0,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
36583,https://lms.stasheasy.com/lead/customerInfo/36583/700246,17473,4,28,694,0,2,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
37222,https://lms.stasheasy.com/lead/customerInfo/37222/573990,19158,3,15,652,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,7
37423,https://lms.stasheasy.com/lead/customerInfo/37423/129887,40489,4,19,658,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
38561,https://lms.stasheasy.com/lead/customerInfo/38561/287856,20307,3,24,713,1,1,Y,Y,"Akara Capital Advisors Private Limited,Stashfin DMI EMI Escrow Account",State Bank of India,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,7
39255,https://lms.stasheasy.com/lead/customerInfo/39255/57713,106298,3,43,686,2,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
39513,https://lms.stasheasy.com/lead/customerInfo/39513/700377,48925,3,32,699,0,2,Y,Y,Akara Capital Advisors Private Limited,Standard Chartered Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,2
39715,https://lms.stasheasy.com/lead/customerInfo/39715/291205,17609,3,12,745,0,1,Y,Y,Akara Capital Advisors Private Limited,Citi Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
40494,https://lms.stasheasy.com/lead/customerInfo/40494/514097,43358,1,9,595,0,2,Y,Y,Akara Capital Advisors Private Limited,"ICI-ICICI Bank,ICICI Bank Ltd",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,18
41517,https://lms.stasheasy.com/lead/customerInfo/41517/378498,84076,3,26,632,0,1,Y,Y,Akara Capital Advisors Private Limited,Axis Bank Ltd.,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,2
42459,https://lms.stasheasy.com/lead/customerInfo/42459/252546,39130,3,23,637,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,1
42478,https://lms.stasheasy.com/lead/customerInfo/42478/87073,20683,3,14,671,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
42837,https://lms.stasheasy.com/lead/customerInfo/42837/442235,45924,3,35,644,1,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,3
42841,https://lms.stasheasy.com/lead/customerInfo/42841/57719,50913,3,32,696,0,1,Y,Y,Akara Capital Advisors Private Limited,KOTAK MAHINDRA BANK,ACCEPTED,0,DCB,0,0,0,0,0,0,2
43193,https://lms.stasheasy.com/lead/customerInfo/43193/698510,48925,5,15,685,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,1
45788,https://lms.stasheasy.com/lead/customerInfo/45788/202616,20806,3,15,733,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
46124,https://lms.stasheasy.com/lead/customerInfo/46124/159639,20000,3,21,725,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
46377,https://lms.stasheasy.com/lead/customerInfo/46377/441828,16250,3,12,570,0,1,Y,Y,Akara Capital Advisors Private Limited,INDUSIND BANK,ACCEPTED,0,DCB,0,0,0,0,0,0,0
46647,https://lms.stasheasy.com/lead/customerInfo/46647/165160,6000,2,24,643,0,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
46922,https://lms.stasheasy.com/lead/customerInfo/46922/235396,16500,3,60,772,1,0,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
46955,https://lms.stasheasy.com/lead/customerInfo/46955/502679,100000,2,9,704,0,0,Y,N,"Akara Capital Advisors Private Limited,Stashfin DMI EMI Escrow Account",AXIS BANK,ACCEPTED,0,DCB,0,0,0,0,0,0,3
47252,https://lms.stasheasy.com/lead/customerInfo/47252/698951,20968,4,26,628,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,1,15
47881,https://lms.stasheasy.com/lead/customerInfo/47881/291485,20217,3,9,678,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,1
49136,https://lms.stasheasy.com/lead/customerInfo/49136/707355,41294,3,31,684,2,2,Y,Y,Akara Capital Advisors Private Limited,AXIS BANK,ACCEPTED,0,DCB,0,0,0,0,0,0,3
49707,https://lms.stasheasy.com/lead/customerInfo/49707/526769,5532,5,29,747,2,1,Y,Y,"AKARA CAPITAL ADVISORS P LTD,Akara Capital Advisors Private Limited","KOTAK MAHINDRA BANK,SCB-Standard Chartered Bank",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,1
49824,https://lms.stasheasy.com/lead/customerInfo/49824/102265,60000,5,18,700,0,0,Y,Y,"Akara Capital Advisors Private Limited,EQX ANALYTICS PRIVATE LIMITED,Stashfin DMI EMI Escrow Account","HDFC,HDFC Bank",ACCEPTED,0,DCB,0,0,0,0,0,0,4
50456,https://lms.stasheasy.com/lead/customerInfo/50456/377899,19783,8,28,654,1,2,Y,Y,Akara Capital Advisors Private Limited,IDBI BANK,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,1
50866,https://lms.stasheasy.com/lead/customerInfo/50866/341819,17419,4,23,631,1,2,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,1,0,0,0,7
51966,https://lms.stasheasy.com/lead/customerInfo/51966/332004,28560,1,18,643,0,1,Y,Y,Akara Capital Advisors Private Limited,"HDF-HDFC BANK,HDFC Bank Ltd",ACCEPTED,0,DCB,0,0,0,2,0,0,3
52130,https://lms.stasheasy.com/lead/customerInfo/52130/232527,11834,2,14,739,0,1,Y,Y,Akara Capital Advisors Private Limited,ICICI Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
52256,https://lms.stasheasy.com/lead/customerInfo/52256/545912,30000,4,9,735,1,0,Y,Y,"Akara Capital Advisors Private Limited,EQX ANALYTICS PRIVATE LIMITED","HDF-HDFC Bank,HDFC,HDFC BANK",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,8
52346,https://lms.stasheasy.com/lead/customerInfo/52346/702928,20000,3,27,665,2,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,8
52718,https://lms.stasheasy.com/lead/customerInfo/52718/698517,21667,1,13,669,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,1,0,1,0,0,6
53175,https://lms.stasheasy.com/lead/customerInfo/53175/182073,60484,3,7,1,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
53274,https://lms.stasheasy.com/lead/customerInfo/53274/367345,100000,3,8,652,1,1,Y,Y,"Akara Capital Advisors Private Limited,EQX ANALYTICS PRIVATE LIMITED","AXIS BANK,UTI-Axis Bank,UTIB",ACCEPTED,0,DCB,0,0,0,0,0,1,0
54028,https://lms.stasheasy.com/lead/customerInfo/54028/514548,13297,1,9,632,0,2,Y,Y,Akara Capital Advisors Private Limited,"HDF-HDFC Bank, India,HDFC Bank Ltd",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
54063,https://lms.stasheasy.com/lead/customerInfo/54063/441657,33560,3,31,536,0,1,Y,Y,Akara Capital Advisors Private Limited,Standard Chartered Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,3,4
55791,https://lms.stasheasy.com/lead/customerInfo/55791/562496,17715,3,23,720,1,1,Y,N,Akara Capital Advisors Private Limited,AXIS BANK,ACCEPTED,0,DCB,0,0,0,0,0,0,2
56246,https://lms.stasheasy.com/lead/customerInfo/56246/255588,19565,1,6,487,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,2
56992,https://lms.stasheasy.com/lead/customerInfo/56992/516701,28905,1,9,635,0,2,Y,Y,Akara Capital Advisors Private Limited,HDF-HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,3
57135,https://lms.stasheasy.com/lead/customerInfo/57135/378580,46716,3,24,626,0,2,Y,Y,Akara Capital Advisors Private Limited,"HDF-HDFC Bank, India,HDFC BANK",ACCEPTED,0,DCB,0,0,0,0,0,0,0
57638,https://lms.stasheasy.com/lead/customerInfo/57638/611843,20000,3,13,653,2,0,Y,Y,"AKARA CAPITAL ADVISORS P LTD,Akara Capital Advisors Private Limited","ICI-ICICI Bank, India,ICICI BANK",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,3
57710,https://lms.stasheasy.com/lead/customerInfo/57710/386856,60000,6,23,694,1,2,Y,Y,"Akara Capital Advisors Private Limited,EQX ANALYTICS PRIVATE LIMITED","AXIS BANK,UTIB",ACCEPTED,0,DCB,0,0,0,0,2,0,2
58255,https://lms.stasheasy.com/lead/customerInfo/58255/325932,29677,3,16,671,0,1,Y,Y,Akara Capital Advisors Private Limited,HDFC Bank,ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,0
58418,https://lms.stasheasy.com/lead/customerInfo/58418/583207,20184,3,18,721,1,2,Y,Y,"Akara Capital Advisors Private Limited,Stashfin DMI EMI Escrow Account",Federal Bank,ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,1
59309,https://lms.stasheasy.com/lead/customerInfo/59309/709931,12581,3,12,666,0,1,Y,Y,Akara Capital Advisors Private Limited,AXIS BANK,ACCEPTED,0,DCB,0,0,0,2,0,0,10
61108,https://lms.stasheasy.com/lead/customerInfo/61108/514112,20233,9,9,642,0,2,Y,Y,Akara Capital Advisors Private Limited,"ICI-ICICI Bank, India",ACCEPTED,0,"DCB,MATCHMOVE FEDERAL",0,0,0,0,0,0,0
61197,https://lms.stasheasy.com/lead/customerInfo/61197/377942,14873,3,15,629,0,1,Y,Y,Akara Capital Advisors Private Limited,"HDFC BANK,HDFC Bank Ltd",ACCEPTED,0,"DCB,M2P FEDERAL",0,0,0,0,0,0,1
62232,https://lms.stasheasy.com/lead/customerInfo/62232/706950,30628,3,13,733,0,1,Y,N,Akara Capital Advisors Private Limited,Punjab National Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
63202,https://lms.stasheasy.com/lead/customerInfo/63202/261925,34500,5,25,724,1,1,Y,Y,"AKARA CAPITAL ADVISORS P LTD,Akara Capital Advisors Private Limited,Stashfin DMI EMI Escrow Account","KKB-Kotak Mahindra  Bank,KKB-Kotak Mahindra / Ing Vysya Bank, India,KOTAK MAHINDRA BANK",ACCEPTED,0,DCB,0,0,0,2,1,0,4
63526,https://lms.stasheasy.com/lead/customerInfo/63526/556420,20526,9,6,717,0,2,Y,N,Akara Capital Advisors Private Limited,HDF-HDFC Bank,ACCEPTED,0,DCB,0,0,0,0,0,0,0
63747,https://lms.stasheasy.com/lead/customerInfo/63747/99758,17000,0,21,533,0,0,Y,Y,Stashfin DMI EMI Escrow Account,UNION BANK OF INDIA,REJECTED,0,DCB,0,0,0,0,0,0,0
